text,category
I have been waiting for a resolution. I was billed twice for my broadband connection this month This happened last week.,Telecom
My card payment was reversed by the merchant but the bank has not credited it This happened last week.,Banking
I have been waiting for a resolution. My prepaid book order was cancelled but the amount is still not credited Support has not resolved it.,Ecommerce
Please help. The broadband speed is much lower than the promised 100 Mbps Support has not resolved it.,Telecom
I have been waiting for a resolution. The price changed after checkout for my book order This happened last week.,Ecommerce
Complaint: The online seller has not processed my refund for the returned phone I have the transaction details.,Ecommerce
I need support because The online seller has not processed my refund for the returned headphones I have the transaction details.,Ecommerce
Complaint: The network provider added a service I did not request Please review this.,Telecom
The travel portal charged a cancellation fee that was not shown before booking I have the transaction details.,Travel
Please help. My book order was marked delivered but I did not receive it Support has not resolved it.,Ecommerce
I have been waiting for a resolution. The technician charged me even though my refrigerator is under warranty I have the transaction details.,Appliances
I have been waiting for a resolution. My UPI transfer failed and the amount has not returned Support has not resolved it.,Banking
I need support because An unauthorised debit of rupees 499 appeared in my bank account I have the transaction details.,Banking
I need support because The broadband speed is much lower than the promised 200 Mbps Support has not resolved it.,Telecom
Please help. My train ticket was cancelled but the refund is still pending I have the transaction details.,Travel
The new air conditioner was installed incorrectly and support is not responding I have the transaction details.,Appliances
I have been waiting for a resolution. The service centre has delayed the repair of my air conditioner This happened last week.,Appliances
I have been waiting for a resolution. The airline changed my flight and did not offer a suitable refund This happened last week.,Travel
I have been waiting for a resolution. The price changed after checkout for my mixer order Please review this.,Ecommerce
My card payment was reversed by the merchant but the bank has not credited it This happened last week.,Banking
I need support because My UPI transfer failed and the amount has not returned Please review this.,Banking
I have been waiting for a resolution. I received a damaged shoes and the shopping app closed my return request This happened last week.,Ecommerce
I have been waiting for a resolution. The online seller has not processed my refund for the returned mixer Support has not resolved it.,Ecommerce
I have been waiting for a resolution. The price changed after checkout for my phone order Please review this.,Ecommerce
A replacement part for my air conditioner has not arrived I have the transaction details.,Appliances
Please help. The travel portal charged a cancellation fee that was not shown before booking Please review this.,Travel
I need support because The broadband speed is much lower than the promised 100 Mbps I have the transaction details.,Telecom
The ATM did not dispense cash but rupees 499 was deducted I have the transaction details.,Banking
I need support because The price changed after checkout for my shoes order This happened last week.,Ecommerce
I need support because The bank charged an unexpected fee on my savings account This happened last week.,Banking
I need support because The service centre has delayed the repair of my television,Appliances
Complaint: My number port request is delayed without an explanation Support has not resolved it.,Telecom
Complaint: The broadband speed is much lower than the promised 200 Mbps Please review this.,Telecom
Please help. The online seller has not processed my refund for the returned mixer I have the transaction details.,Ecommerce
The bank charged an unexpected fee on my savings account Support has not resolved it.,Banking
I have been waiting for a resolution. The bus operator cancelled the trip and kept the booking amount Support has not resolved it.,Travel
I have been waiting for a resolution. The ATM did not dispense cash but rupees 1200 was deducted,Banking
I need support because My shoes order was marked delivered but I did not receive it I have the transaction details.,Ecommerce
My hotel booking was not honoured even though it was prepaid Please review this.,Travel
Complaint: My train ticket was cancelled but the refund is still pending This happened last week.,Travel
I need support because My number port request is delayed without an explanation,Telecom
My card payment was reversed by the merchant but the bank has not credited it This happened last week.,Banking
Complaint: The ATM did not dispense cash but rupees 499 was deducted Please review this.,Banking
Please help. The new microwave was installed incorrectly and support is not responding I have the transaction details.,Appliances
The service centre has delayed the repair of my microwave I have the transaction details.,Appliances
Please help. My number port request is delayed without an explanation Please review this.,Telecom
I need support because I was billed twice for my broadband connection this month I have the transaction details.,Telecom
I need support because The travel portal charged a cancellation fee that was not shown before booking Please review this.,Travel
Please help. The technician charged me even though my air conditioner is under warranty I have the transaction details.,Appliances
Complaint: My train ticket was cancelled but the refund is still pending Support has not resolved it.,Travel
I need support because The price changed after checkout for my shoes order I have the transaction details.,Ecommerce
I need support because My UPI transfer failed and the amount has not returned Support has not resolved it.,Banking
Please help. My mobile data stopped working after I recharged the prepaid plan,Telecom
The technician charged me even though my washing machine is under warranty This happened last week.,Appliances
I need support because An unauthorised debit of rupees 1200 appeared in my bank account Support has not resolved it.,Banking
Complaint: The new microwave was installed incorrectly and support is not responding Please review this.,Appliances
I need support because The service centre has delayed the repair of my television This happened last week.,Appliances
Complaint: My prepaid mixer order was cancelled but the amount is still not credited,Ecommerce
I received a damaged phone and the shopping app closed my return request Support has not resolved it.,Ecommerce
I need support because I was billed twice for my broadband connection this month Support has not resolved it.,Telecom
I have been waiting for a resolution. My prepaid mixer order was cancelled but the amount is still not credited This happened last week.,Ecommerce
I have been waiting for a resolution. My hotel booking was not honoured even though it was prepaid,Travel
Please help. The network provider added a service I did not request This happened last week.,Telecom
I need support because My train ticket was cancelled but the refund is still pending This happened last week.,Travel
I have been waiting for a resolution. The online seller has not processed my refund for the returned book I have the transaction details.,Ecommerce
Complaint: I received a damaged book and the shopping app closed my return request Support has not resolved it.,Ecommerce
My prepaid book order was cancelled but the amount is still not credited Support has not resolved it.,Ecommerce
Complaint: The service centre has delayed the repair of my microwave This happened last week.,Appliances
Complaint: The service centre has delayed the repair of my television Support has not resolved it.,Appliances
I need support because The online seller has not processed my refund for the returned headphones I have the transaction details.,Ecommerce
I have been waiting for a resolution. An unauthorised debit of rupees 8000 appeared in my bank account Please review this.,Banking
The ATM did not dispense cash but rupees 1200 was deducted This happened last week.,Banking
Please help. My card payment was reversed by the merchant but the bank has not credited it Please review this.,Banking
The airline changed my flight and did not offer a suitable refund This happened last week.,Travel
I have been waiting for a resolution. The travel portal charged a cancellation fee that was not shown before booking I have the transaction details.,Travel
Complaint: The bus operator cancelled the trip and kept the booking amount Support has not resolved it.,Travel
I have been waiting for a resolution. The travel portal charged a cancellation fee that was not shown before booking,Travel
I need support because A replacement part for my refrigerator has not arrived,Appliances
I have been waiting for a resolution. The airline changed my flight and did not offer a suitable refund Please review this.,Travel
I have been waiting for a resolution. The bus operator cancelled the trip and kept the booking amount This happened last week.,Travel
I need support because The technician charged me even though my refrigerator is under warranty,Appliances
Complaint: My card payment was reversed by the merchant but the bank has not credited it Support has not resolved it.,Banking
I need support because An unauthorised debit of rupees 499 appeared in my bank account Support has not resolved it.,Banking
My card payment was reversed by the merchant but the bank has not credited it Support has not resolved it.,Banking
The bank charged an unexpected fee on my savings account Support has not resolved it.,Banking
I have been waiting for a resolution. A replacement part for my microwave has not arrived I have the transaction details.,Appliances
The bus operator cancelled the trip and kept the booking amount,Travel
Please help. The new air conditioner was installed incorrectly and support is not responding I have the transaction details.,Appliances
I need support because I received a damaged phone and the shopping app closed my return request This happened last week.,Ecommerce
I have been waiting for a resolution. The network provider added a service I did not request Support has not resolved it.,Telecom
A replacement part for my washing machine has not arrived Please review this.,Appliances
The ATM did not dispense cash but rupees 1200 was deducted Please review this.,Banking
I need support because My number port request is delayed without an explanation Please review this.,Telecom
Please help. My UPI transfer failed and the amount has not returned This happened last week.,Banking
Complaint: My hotel booking was not honoured even though it was prepaid Support has not resolved it.,Travel
The technician charged me even though my microwave is under warranty,Appliances
Please help. My hotel booking was not honoured even though it was prepaid,Travel
I have been waiting for a resolution. I received a damaged book and the shopping app closed my return request This happened last week.,Ecommerce
The technician charged me even though my television is under warranty This happened last week.,Appliances
I have been waiting for a resolution. The bank charged an unexpected fee on my savings account I have the transaction details.,Banking
I need support because The airline changed my flight and did not offer a suitable refund This happened last week.,Travel
I have been waiting for a resolution. The travel portal charged a cancellation fee that was not shown before booking Please review this.,Travel
Please help. My train ticket was cancelled but the refund is still pending Please review this.,Travel
I have been waiting for a resolution. My hotel booking was not honoured even though it was prepaid,Travel
Please help. I received a damaged mixer and the shopping app closed my return request Please review this.,Ecommerce
I need support because The broadband speed is much lower than the promised 200 Mbps This happened last week.,Telecom
Complaint: The online seller has not processed my refund for the returned book I have the transaction details.,Ecommerce
I have been waiting for a resolution. My mobile data stopped working after I recharged the prepaid plan Support has not resolved it.,Telecom
Please help. My prepaid book order was cancelled but the amount is still not credited Support has not resolved it.,Ecommerce
I have been waiting for a resolution. The airline changed my flight and did not offer a suitable refund Please review this.,Travel
I need support because My train ticket was cancelled but the refund is still pending Please review this.,Travel
Please help. My hotel booking was not honoured even though it was prepaid This happened last week.,Travel
I have been waiting for a resolution. The ATM did not dispense cash but rupees 8000 was deducted Please review this.,Banking
Complaint: The online seller has not processed my refund for the returned shoes Please review this.,Ecommerce
I have been waiting for a resolution. The travel portal charged a cancellation fee that was not shown before booking I have the transaction details.,Travel
My train ticket was cancelled but the refund is still pending Please review this.,Travel
Please help. My card payment was reversed by the merchant but the bank has not credited it This happened last week.,Banking
I need support because The travel portal charged a cancellation fee that was not shown before booking This happened last week.,Travel
Complaint: The price changed after checkout for my phone order Support has not resolved it.,Ecommerce
I have been waiting for a resolution. I received a damaged shoes and the shopping app closed my return request I have the transaction details.,Ecommerce
Please help. The broadband speed is much lower than the promised 50 Mbps,Telecom
The technician charged me even though my television is under warranty This happened last week.,Appliances
Please help. I was billed twice for my broadband connection this month,Telecom
My book order was marked delivered but I did not receive it This happened last week.,Ecommerce
Please help. The travel portal charged a cancellation fee that was not shown before booking,Travel
My mixer order was marked delivered but I did not receive it I have the transaction details.,Ecommerce
I need support because A replacement part for my refrigerator has not arrived Support has not resolved it.,Appliances
I received a damaged book and the shopping app closed my return request,Ecommerce
Complaint: An unauthorised debit of rupees 499 appeared in my bank account Please review this.,Banking
A replacement part for my washing machine has not arrived Please review this.,Appliances
Complaint: The broadband speed is much lower than the promised 50 Mbps This happened last week.,Telecom
I need support because My microwave stopped working during the warranty period Support has not resolved it.,Appliances
I have been waiting for a resolution. I was billed twice for my broadband connection this month Support has not resolved it.,Telecom
Please help. The technician charged me even though my television is under warranty Please review this.,Appliances
Complaint: The ATM did not dispense cash but rupees 1200 was deducted Please review this.,Banking
I need support because The travel portal charged a cancellation fee that was not shown before booking This happened last week.,Travel
My headphones order was marked delivered but I did not receive it,Ecommerce
Complaint: My washing machine stopped working during the warranty period Support has not resolved it.,Appliances
The network provider added a service I did not request Support has not resolved it.,Telecom
I need support because The travel portal charged a cancellation fee that was not shown before booking I have the transaction details.,Travel
Complaint: The technician charged me even though my microwave is under warranty This happened last week.,Appliances
I have been waiting for a resolution. My book order was marked delivered but I did not receive it This happened last week.,Ecommerce
Please help. I was billed twice for my broadband connection this month,Telecom
I need support because My microwave stopped working during the warranty period Support has not resolved it.,Appliances
I need support because The new washing machine was installed incorrectly and support is not responding This happened last week.,Appliances
Please help. My mobile data stopped working after I recharged the monthly plan Support has not resolved it.,Telecom
The bus operator cancelled the trip and kept the booking amount Support has not resolved it.,Travel
I have been waiting for a resolution. My number port request is delayed without an explanation Support has not resolved it.,Telecom
Please help. The new television was installed incorrectly and support is not responding,Appliances
Please help. The bank charged an unexpected fee on my savings account Support has not resolved it.,Banking
Please help. The service centre has delayed the repair of my television Support has not resolved it.,Appliances
I have been waiting for a resolution. The online seller has not processed my refund for the returned headphones This happened last week.,Ecommerce
I need support because My train ticket was cancelled but the refund is still pending This happened last week.,Travel
I have been waiting for a resolution. The bank charged an unexpected fee on my savings account Please review this.,Banking
Please help. The technician charged me even though my washing machine is under warranty I have the transaction details.,Appliances
The ATM did not dispense cash but rupees 1200 was deducted Please review this.,Banking
I have been waiting for a resolution. My card payment was reversed by the merchant but the bank has not credited it I have the transaction details.,Banking
I have been waiting for a resolution. The broadband speed is much lower than the promised 50 Mbps Support has not resolved it.,Telecom
I have been waiting for a resolution. A replacement part for my washing machine has not arrived Support has not resolved it.,Appliances
My UPI transfer failed and the amount has not returned,Banking
I need support because My prepaid headphones order was cancelled but the amount is still not credited,Ecommerce
I need support because I was billed twice for my broadband connection this month Please review this.,Telecom
The service centre has delayed the repair of my washing machine Please review this.,Appliances
I need support because The ATM did not dispense cash but rupees 8000 was deducted This happened last week.,Banking
The new air conditioner was installed incorrectly and support is not responding,Appliances
Please help. I received a damaged book and the shopping app closed my return request,Ecommerce
I have been waiting for a resolution. My number port request is delayed without an explanation,Telecom
I have been waiting for a resolution. I was billed twice for my broadband connection this month,Telecom
Complaint: An unauthorised debit of rupees 8000 appeared in my bank account Please review this.,Banking
I need support because My air conditioner stopped working during the warranty period,Appliances
Please help. My mobile data stopped working after I recharged the monthly plan Please review this.,Telecom
I need support because The travel portal charged a cancellation fee that was not shown before booking Support has not resolved it.,Travel
My train ticket was cancelled but the refund is still pending This happened last week.,Travel
Please help. A replacement part for my television has not arrived I have the transaction details.,Appliances
Please help. My prepaid book order was cancelled but the amount is still not credited,Ecommerce
Complaint: I received a damaged phone and the shopping app closed my return request This happened last week.,Ecommerce
The technician charged me even though my television is under warranty I have the transaction details.,Appliances
I need support because My refrigerator stopped working during the warranty period Support has not resolved it.,Appliances
I have been waiting for a resolution. The airline changed my flight and did not offer a suitable refund This happened last week.,Travel
Please help. The bus operator cancelled the trip and kept the booking amount Support has not resolved it.,Travel
Please help. The travel portal charged a cancellation fee that was not shown before booking Support has not resolved it.,Travel
I have been waiting for a resolution. My number port request is delayed without an explanation Support has not resolved it.,Telecom
Complaint: The bank charged an unexpected fee on my savings account I have the transaction details.,Banking
I need support because The service centre has delayed the repair of my television I have the transaction details.,Appliances
Please help. The ATM did not dispense cash but rupees 1200 was deducted,Banking
Complaint: The online seller has not processed my refund for the returned shoes Support has not resolved it.,Ecommerce
I have been waiting for a resolution. My number port request is delayed without an explanation I have the transaction details.,Telecom
My hotel booking was not honoured even though it was prepaid I have the transaction details.,Travel
Complaint: An unauthorised debit of rupees 3500 appeared in my bank account Support has not resolved it.,Banking
Please help. I received a damaged phone and the shopping app closed my return request,Ecommerce
Complaint: The online seller has not processed my refund for the returned headphones This happened last week.,Ecommerce
Please help. My hotel booking was not honoured even though it was prepaid Please review this.,Travel
Please help. The bus operator cancelled the trip and kept the booking amount,Travel
Complaint: The bank charged an unexpected fee on my savings account I have the transaction details.,Banking
Complaint: I was billed twice for my broadband connection this month I have the transaction details.,Telecom
I have been waiting for a resolution. My headphones order was marked delivered but I did not receive it Support has not resolved it.,Ecommerce
I need support because The travel portal charged a cancellation fee that was not shown before booking,Travel
Please help. My train ticket was cancelled but the refund is still pending Support has not resolved it.,Travel
Please help. An unauthorised debit of rupees 3500 appeared in my bank account This happened last week.,Banking
I have been waiting for a resolution. A replacement part for my refrigerator has not arrived Support has not resolved it.,Appliances
I need support because The airline changed my flight and did not offer a suitable refund,Travel
Complaint: A replacement part for my television has not arrived Please review this.,Appliances
Please help. My number port request is delayed without an explanation,Telecom
The network provider added a service I did not request Support has not resolved it.,Telecom
Please help. My number port request is delayed without an explanation Please review this.,Telecom
Complaint: My number port request is delayed without an explanation This happened last week.,Telecom
I need support because An unauthorised debit of rupees 3500 appeared in my bank account This happened last week.,Banking
Complaint: My card payment was reversed by the merchant but the bank has not credited it This happened last week.,Banking
Please help. The network provider added a service I did not request Support has not resolved it.,Telecom
I have been waiting for a resolution. The service centre has delayed the repair of my microwave Please review this.,Appliances
Complaint: An unauthorised debit of rupees 8000 appeared in my bank account Support has not resolved it.,Banking
I have been waiting for a resolution. The technician charged me even though my air conditioner is under warranty Support has not resolved it.,Appliances
Complaint: I was billed twice for my broadband connection this month Please review this.,Telecom
The new microwave was installed incorrectly and support is not responding,Appliances
Please help. The network provider added a service I did not request Support has not resolved it.,Telecom
Please help. A replacement part for my refrigerator has not arrived I have the transaction details.,Appliances
I have been waiting for a resolution. My television stopped working during the warranty period Support has not resolved it.,Appliances
My UPI transfer failed and the amount has not returned Please review this.,Banking
Complaint: My refrigerator stopped working during the warranty period Please review this.,Appliances
Please help. The online seller has not processed my refund for the returned phone This happened last week.,Ecommerce
Complaint: I was billed twice for my broadband connection this month,Telecom
Complaint: I was billed twice for my broadband connection this month Support has not resolved it.,Telecom
I need support because My number port request is delayed without an explanation,Telecom
My mobile data stopped working after I recharged the unlimited plan,Telecom
The bank charged an unexpected fee on my savings account Please review this.,Banking
I have been waiting for a resolution. My prepaid book order was cancelled but the amount is still not credited Please review this.,Ecommerce
Please help. My mobile data stopped working after I recharged the prepaid plan Support has not resolved it.,Telecom
I was billed twice for my broadband connection this month This happened last week.,Telecom
I have been waiting for a resolution. My phone order was marked delivered but I did not receive it This happened last week.,Ecommerce
The airline changed my flight and did not offer a suitable refund,Travel
Complaint: The price changed after checkout for my book order This happened last week.,Ecommerce
Complaint: My prepaid book order was cancelled but the amount is still not credited I have the transaction details.,Ecommerce
The airline changed my flight and did not offer a suitable refund Please review this.,Travel
I have been waiting for a resolution. My card payment was reversed by the merchant but the bank has not credited it Please review this.,Banking
Please help. I received a damaged phone and the shopping app closed my return request I have the transaction details.,Ecommerce
I have been waiting for a resolution. The price changed after checkout for my headphones order I have the transaction details.,Ecommerce
I need support because The airline changed my flight and did not offer a suitable refund,Travel
Please help. The technician charged me even though my washing machine is under warranty Support has not resolved it.,Appliances
My prepaid headphones order was cancelled but the amount is still not credited,Ecommerce
Complaint: My UPI transfer failed and the amount has not returned Please review this.,Banking
Complaint: The travel portal charged a cancellation fee that was not shown before booking,Travel
Please help. A replacement part for my television has not arrived I have the transaction details.,Appliances
I have been waiting for a resolution. The bus operator cancelled the trip and kept the booking amount I have the transaction details.,Travel
The price changed after checkout for my phone order Please review this.,Ecommerce
Complaint: My card payment was reversed by the merchant but the bank has not credited it Please review this.,Banking
Please help. My shoes order was marked delivered but I did not receive it This happened last week.,Ecommerce
Please help. My number port request is delayed without an explanation I have the transaction details.,Telecom
I have been waiting for a resolution. The service centre has delayed the repair of my washing machine Please review this.,Appliances
Complaint: My UPI transfer failed and the amount has not returned This happened last week.,Banking
Please help. I was billed twice for my broadband connection this month Support has not resolved it.,Telecom
Please help. The airline changed my flight and did not offer a suitable refund Please review this.,Travel
I need support because My hotel booking was not honoured even though it was prepaid Support has not resolved it.,Travel
My hotel booking was not honoured even though it was prepaid,Travel
Please help. My mobile data stopped working after I recharged the unlimited plan Support has not resolved it.,Telecom
I have been waiting for a resolution. My microwave stopped working during the warranty period This happened last week.,Appliances
Complaint: The network provider added a service I did not request Support has not resolved it.,Telecom
The travel portal charged a cancellation fee that was not shown before booking This happened last week.,Travel
The price changed after checkout for my headphones order I have the transaction details.,Ecommerce
Complaint: The new air conditioner was installed incorrectly and support is not responding This happened last week.,Appliances
The technician charged me even though my refrigerator is under warranty Support has not resolved it.,Appliances
Please help. My train ticket was cancelled but the refund is still pending,Travel
Please help. I received a damaged shoes and the shopping app closed my return request,Ecommerce
Complaint: The ATM did not dispense cash but rupees 1200 was deducted I have the transaction details.,Banking
Complaint: The service centre has delayed the repair of my refrigerator This happened last week.,Appliances
Please help. The new refrigerator was installed incorrectly and support is not responding This happened last week.,Appliances
I need support because The bus operator cancelled the trip and kept the booking amount I have the transaction details.,Travel
Please help. My hotel booking was not honoured even though it was prepaid,Travel
Complaint: An unauthorised debit of rupees 499 appeared in my bank account Please review this.,Banking
I have been waiting for a resolution. A replacement part for my television has not arrived Please review this.,Appliances
Please help. The network provider added a service I did not request,Telecom
Please help. An unauthorised debit of rupees 1200 appeared in my bank account I have the transaction details.,Banking
I have been waiting for a resolution. The broadband speed is much lower than the promised 50 Mbps Support has not resolved it.,Telecom
I have been waiting for a resolution. The airline changed my flight and did not offer a suitable refund Support has not resolved it.,Travel
A replacement part for my refrigerator has not arrived,Appliances
I need support because The ATM did not dispense cash but rupees 3500 was deducted This happened last week.,Banking
Complaint: The network provider added a service I did not request This happened last week.,Telecom
My hotel booking was not honoured even though it was prepaid Please review this.,Travel
I have been waiting for a resolution. The bank charged an unexpected fee on my savings account Support has not resolved it.,Banking
I have been waiting for a resolution. The broadband speed is much lower than the promised 50 Mbps,Telecom
My mobile data stopped working after I recharged the prepaid plan Support has not resolved it.,Telecom
Complaint: The new washing machine was installed incorrectly and support is not responding I have the transaction details.,Appliances
My prepaid mixer order was cancelled but the amount is still not credited Please review this.,Ecommerce
I have been waiting for a resolution. The bank charged an unexpected fee on my savings account Support has not resolved it.,Banking
Please help. My hotel booking was not honoured even though it was prepaid,Travel
Complaint: The bank charged an unexpected fee on my savings account Please review this.,Banking
I have been waiting for a resolution. The airline changed my flight and did not offer a suitable refund Support has not resolved it.,Travel
Please help. My prepaid shoes order was cancelled but the amount is still not credited Please review this.,Ecommerce
Please help. My UPI transfer failed and the amount has not returned Support has not resolved it.,Banking
My hotel booking was not honoured even though it was prepaid This happened last week.,Travel
The bus operator cancelled the trip and kept the booking amount Please review this.,Travel
I need support because My number port request is delayed without an explanation Please review this.,Telecom
The network provider added a service I did not request,Telecom
Please help. The new air conditioner was installed incorrectly and support is not responding,Appliances
Complaint: The price changed after checkout for my phone order This happened last week.,Ecommerce
Please help. My prepaid phone order was cancelled but the amount is still not credited,Ecommerce
I need support because The broadband speed is much lower than the promised 50 Mbps This happened last week.,Telecom
Complaint: My prepaid shoes order was cancelled but the amount is still not credited,Ecommerce
The service centre has delayed the repair of my television Support has not resolved it.,Appliances
My mobile data stopped working after I recharged the prepaid plan Please review this.,Telecom
Complaint: My number port request is delayed without an explanation Please review this.,Telecom
My hotel booking was not honoured even though it was prepaid,Travel
I need support because My mixer order was marked delivered but I did not receive it Support has not resolved it.,Ecommerce
Please help. My phone order was marked delivered but I did not receive it,Ecommerce
Complaint: My UPI transfer failed and the amount has not returned,Banking
A replacement part for my washing machine has not arrived This happened last week.,Appliances
Complaint: The airline changed my flight and did not offer a suitable refund This happened last week.,Travel
I was billed twice for my broadband connection this month This happened last week.,Telecom
I was billed twice for my broadband connection this month This happened last week.,Telecom
I have been waiting for a resolution. The broadband speed is much lower than the promised 100 Mbps I have the transaction details.,Telecom
Please help. The ATM did not dispense cash but rupees 3500 was deducted Please review this.,Banking
The bank charged an unexpected fee on my savings account I have the transaction details.,Banking
I need support because The network provider added a service I did not request This happened last week.,Telecom
The bank charged an unexpected fee on my savings account Please review this.,Banking
Complaint: An unauthorised debit of rupees 499 appeared in my bank account Please review this.,Banking
Please help. The network provider added a service I did not request Support has not resolved it.,Telecom
Please help. My mobile data stopped working after I recharged the prepaid plan Please review this.,Telecom
Complaint: My UPI transfer failed and the amount has not returned I have the transaction details.,Banking
Complaint: My card payment was reversed by the merchant but the bank has not credited it I have the transaction details.,Banking
Complaint: The bus operator cancelled the trip and kept the booking amount This happened last week.,Travel
I need support because The broadband speed is much lower than the promised 50 Mbps,Telecom
Complaint: My television stopped working during the warranty period This happened last week.,Appliances
Complaint: The price changed after checkout for my mixer order This happened last week.,Ecommerce
Complaint: The online seller has not processed my refund for the returned mixer Support has not resolved it.,Ecommerce
My prepaid mixer order was cancelled but the amount is still not credited This happened last week.,Ecommerce
Please help. The bus operator cancelled the trip and kept the booking amount Please review this.,Travel
Please help. The price changed after checkout for my phone order Support has not resolved it.,Ecommerce
I have been waiting for a resolution. My UPI transfer failed and the amount has not returned Please review this.,Banking
My card payment was reversed by the merchant but the bank has not credited it Support has not resolved it.,Banking
Please help. The ATM did not dispense cash but rupees 8000 was deducted I have the transaction details.,Banking
The service centre has delayed the repair of my television This happened last week.,Appliances
My hotel booking was not honoured even though it was prepaid This happened last week.,Travel
Complaint: My prepaid phone order was cancelled but the amount is still not credited Support has not resolved it.,Ecommerce
Complaint: My train ticket was cancelled but the refund is still pending This happened last week.,Travel
